crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,n_nodes,n_edges,in_degree_max,out_degree_max,elapsed_sec,error
0.2,3,0.6,0.3,1,15796,,,,,,34.45883218711242,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.2,2,20351,,,,,,36.45020487997681,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.9,0.4,2,18425,,,,,,38.32477328227833,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.5,2,14541,,,,,,38.57654852094129,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.4,0,14686,,,,,,38.314497123938054,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.3,1,16466,,,,,,37.940241146832705,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.6,0.5,1,15787,,,,,,37.76394079392776,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.4,2,19725,,,,,,38.30244938703254,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.5,2,14842,,,,,,38.583313782233745,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.7,0.4,1,20325,,,,,,38.20745452912524,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.6,0.5,0,15786,,,,,,39.271789361257106,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.6,0.1,1,20129,,,,,,41.52381679136306,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.7,0.1,2,21207,,,,,,39.794492062181234,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.8,0.1,2,16377,,,,,,39.70487785898149,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.6,0.3,2,21200,,,,,,42.10550635214895,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.1,1,18142,,,,,,41.0900446632877,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.2,0,15211,,,,,,41.65210391767323,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.8,0.1,0,15266,,,,,,42.35797687899321,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.7,0.4,2,20326,,,,,,40.79099800111726,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.3,0,12386,,,,,,41.73800924466923,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.7,0.5,2,17509,,,,,,42.94466261006892,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.4,1,17517,,,,,,41.84438587306067,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.8,0.1,1,16376,,,,,,41.22238782001659,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.6,0.3,2,15797,,,,,,41.714333661366254,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.7,0.4,0,21982,,,,,,43.48260201187804,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.1,2,21702,,,,,,42.916489663068205,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.6,0.1,0,19934,,,,,,42.07454828498885,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.8,0.1,2,15268,,,,,,43.68719442700967,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.6,0.4,2,19055,,,,,,42.25325187202543,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.2,0,15731,,,,,,42.84238054603338,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.1,0,20604,,,,,,42.97370741004124,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.4,2,12504,,,,,,44.21275315294042,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.3,1,16165,,,,,,44.28640819573775,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.2,2,15733,,,,,,43.2665462018922,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.9,0.3,1,13958,,,,,,44.883733994327486,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.9,0.3,0,13957,,,,,,45.01884517399594,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.9,0.2,0,20048,,,,,,45.22354755690321,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.5,1,19804,,,,,,44.432387322187424,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.8,0.4,1,14192,,,,,,43.7738467650488,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.5,0,19803,,,,,,45.054564596153796,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.6,0.4,0,22327,,,,,,46.14107783185318,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.7,0.2,0,16782,,,,,,46.530503780115396,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.9,0.5,0,19157,,,,,,46.783980634994805,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.2,1,20350,,,,,,45.96699336078018,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.9,0.4,0,18423,,,,,,47.477047563996166,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.4,1,19724,,,,,,46.24679866526276,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.2,1,15212,,,,,,47.438822753261775,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.5,0,14539,,,,,,47.84570906870067,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.6,0.2,1,22337,,,,,,48.377599189057946,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.1,0,18141,,,,,,48.134198755025864,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.6,0.3,2,13117,,,,,,48.82777911517769,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.1,2,18143,,,,,,48.330883098300546,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.4,0,12502,,,,,,49.2035726797767,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.7,0.5,0,17507,,,,,,49.57625026302412,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.6,0.4,1,14758,,,,,,49.2130231349729,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.8,0.2,1,20200,,,,,,47.653379363939166,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.6,0.3,1,13116,,,,,,49.49349522497505,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.6,0.4,2,14759,,,,,,49.40738599002361,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.4,2,17518,,,,,,48.75691573088989,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.4,0,19723,,,,,,48.88291900418699,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.1,0,21700,,,,,,50.130121272057295,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.5,2,14251,,,,,,49.81055222079158,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.7,0.1,1,21400,,,,,,51.18216938525438,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.2,2,19080,,,,,,50.437752488069236,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.7,0.5,2,15443,,,,,,49.32297805417329,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.2,0,20349,,,,,,50.27172678615898,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.6,0.3,0,21198,,,,,,51.80874360492453,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.2,2,15213,,,,,,51.252380556892604,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.9,0.2,1,20049,,,,,,51.90329703595489,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.8,0.5,1,19503,,,,,,51.94955915771425,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.5,1,14540,,,,,,51.751106289215386,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.6,0.1,2,19936,,,,,,50.65786051098257,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.7,0.1,1,21206,,,,,,50.84956806199625,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.6,0.3,0,15795,,,,,,51.072129897307605,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.7,0.3,0,17066,,,,,,50.90988084906712,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.7,0.2,1,16783,,,,,,52.908964219968766,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.6,0.4,2,22329,,,,,,53.11127665406093,"float() argument must be a string or a real number, not 'list'"
