i,total_vars,dag_family,p_syn,p_noise,samples
0,10,ba,0.0,0.0,500
1,10,ba,0.0,0.0,1000
2,10,ba,0.0,0.0,2000
3,10,ba,0.0,0.0,5000
4,10,ba,0.0,0.0,10000
5,10,ba,0.0,0.1,500
6,10,ba,0.0,0.1,1000
7,10,ba,0.0,0.1,2000
8,10,ba,0.0,0.1,5000
9,10,ba,0.0,0.1,10000
10,10,ba,0.0,0.2,500
11,10,ba,0.0,0.2,1000
12,10,ba,0.0,0.2,2000
13,10,ba,0.0,0.2,5000
14,10,ba,0.0,0.2,10000
15,10,ba,0.0,0.3,500
16,10,ba,0.0,0.3,1000
17,10,ba,0.0,0.3,2000
18,10,ba,0.0,0.3,5000
19,10,ba,0.0,0.3,10000
20,10,ba,0.0,0.4,500
21,10,ba,0.0,0.4,1000
22,10,ba,0.0,0.4,2000
23,10,ba,0.0,0.4,5000
24,10,ba,0.0,0.4,10000
25,10,ba,0.0,0.5,500
26,10,ba,0.0,0.5,1000
27,10,ba,0.0,0.5,2000
28,10,ba,0.0,0.5,5000
29,10,ba,0.0,0.5,10000
30,10,ba,0.5,0.0,500
31,10,ba,0.5,0.0,1000
32,10,ba,0.5,0.0,2000
33,10,ba,0.5,0.0,5000
34,10,ba,0.5,0.0,10000
35,10,ba,0.5,0.1,500
36,10,ba,0.5,0.1,1000
37,10,ba,0.5,0.1,2000
38,10,ba,0.5,0.1,5000
39,10,ba,0.5,0.1,10000
40,10,ba,0.5,0.2,500
41,10,ba,0.5,0.2,1000
42,10,ba,0.5,0.2,2000
43,10,ba,0.5,0.2,5000
44,10,ba,0.5,0.2,10000
45,10,ba,0.5,0.3,500
46,10,ba,0.5,0.3,1000
47,10,ba,0.5,0.3,2000
48,10,ba,0.5,0.3,5000
49,10,ba,0.5,0.3,10000
50,10,ba,0.5,0.4,500
51,10,ba,0.5,0.4,1000
52,10,ba,0.5,0.4,2000
53,10,ba,0.5,0.4,5000
54,10,ba,0.5,0.4,10000
55,10,ba,0.5,0.5,500
56,10,ba,0.5,0.5,1000
57,10,ba,0.5,0.5,2000
58,10,ba,0.5,0.5,5000
59,10,ba,0.5,0.5,10000
60,10,ba,1.0,0.0,500
61,10,ba,1.0,0.0,1000
62,10,ba,1.0,0.0,2000
63,10,ba,1.0,0.0,5000
64,10,ba,1.0,0.0,10000
65,10,ba,1.0,0.1,500
66,10,ba,1.0,0.1,1000
67,10,ba,1.0,0.1,2000
68,10,ba,1.0,0.1,5000
69,10,ba,1.0,0.1,10000
70,10,ba,1.0,0.2,500
71,10,ba,1.0,0.2,1000
72,10,ba,1.0,0.2,2000
73,10,ba,1.0,0.2,5000
74,10,ba,1.0,0.2,10000
75,10,ba,1.0,0.3,500
76,10,ba,1.0,0.3,1000
77,10,ba,1.0,0.3,2000
78,10,ba,1.0,0.3,5000
79,10,ba,1.0,0.3,10000
80,10,ba,1.0,0.4,500
81,10,ba,1.0,0.4,1000
82,10,ba,1.0,0.4,2000
83,10,ba,1.0,0.4,5000
84,10,ba,1.0,0.4,10000
85,10,ba,1.0,0.5,500
86,10,ba,1.0,0.5,1000
87,10,ba,1.0,0.5,2000
88,10,ba,1.0,0.5,5000
89,10,ba,1.0,0.5,10000
90,10,er,0.0,0.0,500
91,10,er,0.0,0.0,1000
92,10,er,0.0,0.0,2000
93,10,er,0.0,0.0,5000
94,10,er,0.0,0.0,10000
95,10,er,0.0,0.1,500
96,10,er,0.0,0.1,1000
97,10,er,0.0,0.1,2000
98,10,er,0.0,0.1,5000
99,10,er,0.0,0.1,10000
100,10,er,0.0,0.2,500
101,10,er,0.0,0.2,1000
102,10,er,0.0,0.2,2000
103,10,er,0.0,0.2,5000
104,10,er,0.0,0.2,10000
105,10,er,0.0,0.3,500
106,10,er,0.0,0.3,1000
107,10,er,0.0,0.3,2000
108,10,er,0.0,0.3,5000
109,10,er,0.0,0.3,10000
110,10,er,0.0,0.4,500
111,10,er,0.0,0.4,1000
112,10,er,0.0,0.4,2000
113,10,er,0.0,0.4,5000
114,10,er,0.0,0.4,10000
115,10,er,0.0,0.5,500
116,10,er,0.0,0.5,1000
117,10,er,0.0,0.5,2000
118,10,er,0.0,0.5,5000
119,10,er,0.0,0.5,10000
120,10,er,0.5,0.0,500
121,10,er,0.5,0.0,1000
122,10,er,0.5,0.0,2000
123,10,er,0.5,0.0,5000
124,10,er,0.5,0.0,10000
125,10,er,0.5,0.1,500
126,10,er,0.5,0.1,1000
127,10,er,0.5,0.1,2000
128,10,er,0.5,0.1,5000
129,10,er,0.5,0.1,10000
130,10,er,0.5,0.2,500
131,10,er,0.5,0.2,1000
132,10,er,0.5,0.2,2000
133,10,er,0.5,0.2,5000
134,10,er,0.5,0.2,10000
135,10,er,0.5,0.3,500
136,10,er,0.5,0.3,1000
137,10,er,0.5,0.3,2000
138,10,er,0.5,0.3,5000
139,10,er,0.5,0.3,10000
140,10,er,0.5,0.4,500
141,10,er,0.5,0.4,1000
142,10,er,0.5,0.4,2000
143,10,er,0.5,0.4,5000
144,10,er,0.5,0.4,10000
145,10,er,0.5,0.5,500
146,10,er,0.5,0.5,1000
147,10,er,0.5,0.5,2000
148,10,er,0.5,0.5,5000
149,10,er,0.5,0.5,10000
150,10,er,1.0,0.0,500
151,10,er,1.0,0.0,1000
152,10,er,1.0,0.0,2000
153,10,er,1.0,0.0,5000
154,10,er,1.0,0.0,10000
155,10,er,1.0,0.1,500
156,10,er,1.0,0.1,1000
157,10,er,1.0,0.1,2000
158,10,er,1.0,0.1,5000
159,10,er,1.0,0.1,10000
160,10,er,1.0,0.2,500
161,10,er,1.0,0.2,1000
162,10,er,1.0,0.2,2000
163,10,er,1.0,0.2,5000
164,10,er,1.0,0.2,10000
165,10,er,1.0,0.3,500
166,10,er,1.0,0.3,1000
167,10,er,1.0,0.3,2000
168,10,er,1.0,0.3,5000
169,10,er,1.0,0.3,10000
170,10,er,1.0,0.4,500
171,10,er,1.0,0.4,1000
172,10,er,1.0,0.4,2000
173,10,er,1.0,0.4,5000
174,10,er,1.0,0.4,10000
175,10,er,1.0,0.5,500
176,10,er,1.0,0.5,1000
177,10,er,1.0,0.5,2000
178,10,er,1.0,0.5,5000
179,10,er,1.0,0.5,10000
180,10,small-world,0.0,0.0,500
181,10,small-world,0.0,0.0,1000
182,10,small-world,0.0,0.0,2000
183,10,small-world,0.0,0.0,5000
184,10,small-world,0.0,0.0,10000
185,10,small-world,0.0,0.1,500
186,10,small-world,0.0,0.1,1000
187,10,small-world,0.0,0.1,2000
188,10,small-world,0.0,0.1,5000
189,10,small-world,0.0,0.1,10000
190,10,small-world,0.0,0.2,500
191,10,small-world,0.0,0.2,1000
192,10,small-world,0.0,0.2,2000
193,10,small-world,0.0,0.2,5000
194,10,small-world,0.0,0.2,10000
195,10,small-world,0.0,0.3,500
196,10,small-world,0.0,0.3,1000
197,10,small-world,0.0,0.3,2000
198,10,small-world,0.0,0.3,5000
199,10,small-world,0.0,0.3,10000
200,10,small-world,0.0,0.4,500
201,10,small-world,0.0,0.4,1000
202,10,small-world,0.0,0.4,2000
203,10,small-world,0.0,0.4,5000
204,10,small-world,0.0,0.4,10000
205,10,small-world,0.0,0.5,500
206,10,small-world,0.0,0.5,1000
207,10,small-world,0.0,0.5,2000
208,10,small-world,0.0,0.5,5000
209,10,small-world,0.0,0.5,10000
210,10,small-world,0.5,0.0,500
211,10,small-world,0.5,0.0,1000
212,10,small-world,0.5,0.0,2000
213,10,small-world,0.5,0.0,5000
214,10,small-world,0.5,0.0,10000
215,10,small-world,0.5,0.1,500
216,10,small-world,0.5,0.1,1000
217,10,small-world,0.5,0.1,2000
218,10,small-world,0.5,0.1,5000
219,10,small-world,0.5,0.1,10000
220,10,small-world,0.5,0.2,500
221,10,small-world,0.5,0.2,1000
222,10,small-world,0.5,0.2,2000
223,10,small-world,0.5,0.2,5000
224,10,small-world,0.5,0.2,10000
225,10,small-world,0.5,0.3,500
226,10,small-world,0.5,0.3,1000
227,10,small-world,0.5,0.3,2000
228,10,small-world,0.5,0.3,5000
229,10,small-world,0.5,0.3,10000
