i,family,syn_cutoff,target_mi,pair_probs,num_vars
0,er,0.4,0.31699250014423125,0.4,10
1,er,0.4,0.31699250014423125,0.5,10
2,er,0.4,0.31699250014423125,0.6,10
3,er,0.4,0.31699250014423125,0.7,10
4,er,0.4,0.4754887502163468,0.4,10
5,er,0.4,0.4754887502163468,0.5,10
6,er,0.4,0.4754887502163468,0.6,10
7,er,0.4,0.4754887502163468,0.7,10
8,er,0.4,0.6339850002884625,0.4,10
9,er,0.4,0.6339850002884625,0.5,10
10,er,0.4,0.6339850002884625,0.6,10
11,er,0.4,0.6339850002884625,0.7,10
12,er,0.4,0.792481250360578,0.4,10
13,er,0.4,0.792481250360578,0.5,10
14,er,0.4,0.792481250360578,0.6,10
15,er,0.4,0.792481250360578,0.7,10
16,er,0.4,0.9509775004326936,0.4,10
17,er,0.4,0.9509775004326936,0.5,10
18,er,0.4,0.9509775004326936,0.6,10
19,er,0.4,0.9509775004326936,0.7,10
20,er,0.5,0.31699250014423125,0.4,10
21,er,0.5,0.31699250014423125,0.5,10
22,er,0.5,0.31699250014423125,0.6,10
23,er,0.5,0.31699250014423125,0.7,10
24,er,0.5,0.4754887502163468,0.4,10
25,er,0.5,0.4754887502163468,0.5,10
26,er,0.5,0.4754887502163468,0.6,10
27,er,0.5,0.4754887502163468,0.7,10
28,er,0.5,0.6339850002884625,0.4,10
29,er,0.5,0.6339850002884625,0.5,10
30,er,0.5,0.6339850002884625,0.6,10
31,er,0.5,0.6339850002884625,0.7,10
32,er,0.5,0.792481250360578,0.4,10
33,er,0.5,0.792481250360578,0.5,10
34,er,0.5,0.792481250360578,0.6,10
35,er,0.5,0.792481250360578,0.7,10
36,er,0.5,0.9509775004326936,0.4,10
37,er,0.5,0.9509775004326936,0.5,10
38,er,0.5,0.9509775004326936,0.6,10
39,er,0.5,0.9509775004326936,0.7,10
40,er,0.6,0.31699250014423125,0.4,10
41,er,0.6,0.31699250014423125,0.5,10
42,er,0.6,0.31699250014423125,0.6,10
43,er,0.6,0.31699250014423125,0.7,10
44,er,0.6,0.4754887502163468,0.4,10
45,er,0.6,0.4754887502163468,0.5,10
46,er,0.6,0.4754887502163468,0.6,10
47,er,0.6,0.4754887502163468,0.7,10
48,er,0.6,0.6339850002884625,0.4,10
49,er,0.6,0.6339850002884625,0.5,10
50,er,0.6,0.6339850002884625,0.6,10
51,er,0.6,0.6339850002884625,0.7,10
52,er,0.6,0.792481250360578,0.4,10
53,er,0.6,0.792481250360578,0.5,10
54,er,0.6,0.792481250360578,0.6,10
55,er,0.6,0.792481250360578,0.7,10
56,er,0.6,0.9509775004326936,0.4,10
57,er,0.6,0.9509775004326936,0.5,10
58,er,0.6,0.9509775004326936,0.6,10
59,er,0.6,0.9509775004326936,0.7,10
60,er,0.7,0.31699250014423125,0.4,10
61,er,0.7,0.31699250014423125,0.5,10
62,er,0.7,0.31699250014423125,0.6,10
63,er,0.7,0.31699250014423125,0.7,10
64,er,0.7,0.4754887502163468,0.4,10
65,er,0.7,0.4754887502163468,0.5,10
66,er,0.7,0.4754887502163468,0.6,10
67,er,0.7,0.4754887502163468,0.7,10
68,er,0.7,0.6339850002884625,0.4,10
69,er,0.7,0.6339850002884625,0.5,10
70,er,0.7,0.6339850002884625,0.6,10
71,er,0.7,0.6339850002884625,0.7,10
72,er,0.7,0.792481250360578,0.4,10
73,er,0.7,0.792481250360578,0.5,10
74,er,0.7,0.792481250360578,0.6,10
75,er,0.7,0.792481250360578,0.7,10
76,er,0.7,0.9509775004326936,0.4,10
77,er,0.7,0.9509775004326936,0.5,10
78,er,0.7,0.9509775004326936,0.6,10
79,er,0.7,0.9509775004326936,0.7,10
80,er,0.4,0.31699250014423125,0.4,20
81,er,0.4,0.31699250014423125,0.5,20
82,er,0.4,0.31699250014423125,0.6,20
83,er,0.4,0.31699250014423125,0.7,20
84,er,0.4,0.4754887502163468,0.4,20
85,er,0.4,0.4754887502163468,0.5,20
86,er,0.4,0.4754887502163468,0.6,20
87,er,0.4,0.4754887502163468,0.7,20
88,er,0.4,0.6339850002884625,0.4,20
89,er,0.4,0.6339850002884625,0.5,20
90,er,0.4,0.6339850002884625,0.6,20
91,er,0.4,0.6339850002884625,0.7,20
92,er,0.4,0.792481250360578,0.4,20
93,er,0.4,0.792481250360578,0.5,20
94,er,0.4,0.792481250360578,0.6,20
95,er,0.4,0.792481250360578,0.7,20
96,er,0.4,0.9509775004326936,0.4,20
97,er,0.4,0.9509775004326936,0.5,20
98,er,0.4,0.9509775004326936,0.6,20
99,er,0.4,0.9509775004326936,0.7,20
100,er,0.5,0.31699250014423125,0.4,20
101,er,0.5,0.31699250014423125,0.5,20
102,er,0.5,0.31699250014423125,0.6,20
103,er,0.5,0.31699250014423125,0.7,20
104,er,0.5,0.4754887502163468,0.4,20
105,er,0.5,0.4754887502163468,0.5,20
106,er,0.5,0.4754887502163468,0.6,20
107,er,0.5,0.4754887502163468,0.7,20
108,er,0.5,0.6339850002884625,0.4,20
109,er,0.5,0.6339850002884625,0.5,20
110,er,0.5,0.6339850002884625,0.6,20
111,er,0.5,0.6339850002884625,0.7,20
112,er,0.5,0.792481250360578,0.4,20
113,er,0.5,0.792481250360578,0.5,20
114,er,0.5,0.792481250360578,0.6,20
115,er,0.5,0.792481250360578,0.7,20
116,er,0.5,0.9509775004326936,0.4,20
117,er,0.5,0.9509775004326936,0.5,20
118,er,0.5,0.9509775004326936,0.6,20
119,er,0.5,0.9509775004326936,0.7,20
120,er,0.6,0.31699250014423125,0.4,20
121,er,0.6,0.31699250014423125,0.5,20
122,er,0.6,0.31699250014423125,0.6,20
123,er,0.6,0.31699250014423125,0.7,20
124,er,0.6,0.4754887502163468,0.4,20
125,er,0.6,0.4754887502163468,0.5,20
126,er,0.6,0.4754887502163468,0.6,20
127,er,0.6,0.4754887502163468,0.7,20
128,er,0.6,0.6339850002884625,0.4,20
129,er,0.6,0.6339850002884625,0.5,20
130,er,0.6,0.6339850002884625,0.6,20
131,er,0.6,0.6339850002884625,0.7,20
132,er,0.6,0.792481250360578,0.4,20
133,er,0.6,0.792481250360578,0.5,20
134,er,0.6,0.792481250360578,0.6,20
135,er,0.6,0.792481250360578,0.7,20
136,er,0.6,0.9509775004326936,0.4,20
137,er,0.6,0.9509775004326936,0.5,20
138,er,0.6,0.9509775004326936,0.6,20
139,er,0.6,0.9509775004326936,0.7,20
140,er,0.7,0.31699250014423125,0.4,20
141,er,0.7,0.31699250014423125,0.5,20
142,er,0.7,0.31699250014423125,0.6,20
143,er,0.7,0.31699250014423125,0.7,20
144,er,0.7,0.4754887502163468,0.4,20
145,er,0.7,0.4754887502163468,0.5,20
146,er,0.7,0.4754887502163468,0.6,20
147,er,0.7,0.4754887502163468,0.7,20
148,er,0.7,0.6339850002884625,0.4,20
149,er,0.7,0.6339850002884625,0.5,20
150,er,0.7,0.6339850002884625,0.6,20
151,er,0.7,0.6339850002884625,0.7,20
152,er,0.7,0.792481250360578,0.4,20
153,er,0.7,0.792481250360578,0.5,20
154,er,0.7,0.792481250360578,0.6,20
155,er,0.7,0.792481250360578,0.7,20
156,er,0.7,0.9509775004326936,0.4,20
157,er,0.7,0.9509775004326936,0.5,20
158,er,0.7,0.9509775004326936,0.6,20
159,er,0.7,0.9509775004326936,0.7,20
160,er,0.4,0.31699250014423125,0.4,30
161,er,0.4,0.31699250014423125,0.5,30
162,er,0.4,0.31699250014423125,0.6,30
163,er,0.4,0.31699250014423125,0.7,30
164,er,0.4,0.4754887502163468,0.4,30
165,er,0.4,0.4754887502163468,0.5,30
166,er,0.4,0.4754887502163468,0.6,30
167,er,0.4,0.4754887502163468,0.7,30
168,er,0.4,0.6339850002884625,0.4,30
169,er,0.4,0.6339850002884625,0.5,30
170,er,0.4,0.6339850002884625,0.6,30
171,er,0.4,0.6339850002884625,0.7,30
172,er,0.4,0.792481250360578,0.4,30
173,er,0.4,0.792481250360578,0.5,30
174,er,0.4,0.792481250360578,0.6,30
175,er,0.4,0.792481250360578,0.7,30
176,er,0.4,0.9509775004326936,0.4,30
177,er,0.4,0.9509775004326936,0.5,30
178,er,0.4,0.9509775004326936,0.6,30
179,er,0.4,0.9509775004326936,0.7,30
180,er,0.5,0.31699250014423125,0.4,30
181,er,0.5,0.31699250014423125,0.5,30
182,er,0.5,0.31699250014423125,0.6,30
183,er,0.5,0.31699250014423125,0.7,30
184,er,0.5,0.4754887502163468,0.4,30
185,er,0.5,0.4754887502163468,0.5,30
186,er,0.5,0.4754887502163468,0.6,30
187,er,0.5,0.4754887502163468,0.7,30
188,er,0.5,0.6339850002884625,0.4,30
189,er,0.5,0.6339850002884625,0.5,30
190,er,0.5,0.6339850002884625,0.6,30
191,er,0.5,0.6339850002884625,0.7,30
192,er,0.5,0.792481250360578,0.4,30
193,er,0.5,0.792481250360578,0.5,30
194,er,0.5,0.792481250360578,0.6,30
195,er,0.5,0.792481250360578,0.7,30
196,er,0.5,0.9509775004326936,0.4,30
197,er,0.5,0.9509775004326936,0.5,30
198,er,0.5,0.9509775004326936,0.6,30
199,er,0.5,0.9509775004326936,0.7,30
200,er,0.6,0.31699250014423125,0.4,30
201,er,0.6,0.31699250014423125,0.5,30
202,er,0.6,0.31699250014423125,0.6,30
203,er,0.6,0.31699250014423125,0.7,30
204,er,0.6,0.4754887502163468,0.4,30
205,er,0.6,0.4754887502163468,0.5,30
206,er,0.6,0.4754887502163468,0.6,30
207,er,0.6,0.4754887502163468,0.7,30
208,er,0.6,0.6339850002884625,0.4,30
209,er,0.6,0.6339850002884625,0.5,30
210,er,0.6,0.6339850002884625,0.6,30
211,er,0.6,0.6339850002884625,0.7,30
212,er,0.6,0.792481250360578,0.4,30
213,er,0.6,0.792481250360578,0.5,30
214,er,0.6,0.792481250360578,0.6,30
215,er,0.6,0.792481250360578,0.7,30
216,er,0.6,0.9509775004326936,0.4,30
217,er,0.6,0.9509775004326936,0.5,30
218,er,0.6,0.9509775004326936,0.6,30
219,er,0.6,0.9509775004326936,0.7,30
220,er,0.7,0.31699250014423125,0.4,30
221,er,0.7,0.31699250014423125,0.5,30
222,er,0.7,0.31699250014423125,0.6,30
223,er,0.7,0.31699250014423125,0.7,30
224,er,0.7,0.4754887502163468,0.4,30
225,er,0.7,0.4754887502163468,0.5,30
226,er,0.7,0.4754887502163468,0.6,30
227,er,0.7,0.4754887502163468,0.7,30
228,er,0.7,0.6339850002884625,0.4,30
229,er,0.7,0.6339850002884625,0.5,30
230,er,0.7,0.6339850002884625,0.6,30
231,er,0.7,0.6339850002884625,0.7,30
232,er,0.7,0.792481250360578,0.4,30
233,er,0.7,0.792481250360578,0.5,30
234,er,0.7,0.792481250360578,0.6,30
235,er,0.7,0.792481250360578,0.7,30
236,er,0.7,0.9509775004326936,0.4,30
237,er,0.7,0.9509775004326936,0.5,30
238,er,0.7,0.9509775004326936,0.6,30
