crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.3,5,0.9,0.4,-61245.13712028763,1274.5078143159164,2
0.2,3,0.9,0.1,-61350.45550328912,2052.2587387809854,2
0.2,5,0.9,0.1,-61500.04420012996,2870.874641360522,2
0.5,2,0.6,0.1,-61600.76146557311,2990.896529422876,2
0.3,3,0.8,0.1,-61687.18269243585,850.927960398564,2
0.2,5,1.0,0.2,-61725.36245360268,2582.4409388374675,2
0.2,2,1.0,0.3,-61869.72466901894,1850.700038722771,2
0.2,2,0.7,0.1,-61915.96065774552,1560.258595381537,2
0.2,3,1.0,0.1,-62152.69018112973,673.3370262212337,2
0.3,5,0.9,0.2,-62310.635971616866,1594.9122747610713,2
0.3,4,1.0,0.2,-62351.38595198744,2082.7169671259776,2
0.3,2,1.0,0.1,-62388.11049593457,1425.186170555982,2
0.2,2,1.0,0.1,-62390.96074393895,1493.8110447365348,2
0.4,2,0.9,0.1,-62469.47517217546,2580.179172684338,2
0.4,3,1.0,0.2,-62478.63615934321,1041.6937574191534,2
0.2,3,1.0,0.2,-62492.63848735709,261.56071074043916,2
0.5,1,1.0,0.3,-62527.11885176523,1811.2940148563955,2
0.4,1,0.7,0.2,-62555.08386404427,3394.7534505869876,2
0.4,1,0.9,0.1,-62556.559705839274,1784.681232091734,2
0.2,4,0.9,0.1,-62593.65883774982,2571.823234039403,2
0.4,4,1.0,0.1,-62683.92897154132,59.39620329133416,2
0.4,1,0.8,0.1,-62697.285423828245,254.15958891770887,2
0.4,5,0.8,0.1,-62701.6149637888,891.608564014108,2
0.2,4,0.9,0.3,-62702.75939409652,800.6981828016004,2
0.4,3,1.0,0.1,-62828.50858255608,1004.5042199759769,2
0.3,1,1.0,0.1,-62881.777837904956,473.4048295540552,2
0.3,2,0.6,0.1,-62923.712037434954,618.2495041705915,2
0.3,2,1.0,0.4,-62925.66708936356,2555.444755201704,2
0.3,5,0.8,0.2,-62972.78900290304,805.3942562121379,2
0.2,2,0.9,0.2,-62994.23170521889,3627.7827469472386,2
0.3,5,0.9,0.1,-63012.959943629336,1842.2543566571885,2
0.3,3,1.0,0.1,-63053.68917989305,1780.1953336244549,2
0.3,3,0.9,0.1,-63058.38015843376,1495.0662117028362,2
0.4,1,1.0,0.1,-63067.20508449018,1843.2864983408585,2
0.2,3,1.0,0.3,-63069.786726390026,2716.4390938432525,2
0.2,1,0.9,0.1,-63083.021666936744,2222.0553154641398,2
0.2,4,1.0,0.4,-63122.95967458221,1392.8253788734094,2
0.2,5,1.0,0.1,-63169.828887313546,165.47173265096464,2
0.2,5,0.8,0.2,-63206.57211194871,771.958699100371,2
0.4,5,0.9,0.2,-63222.880398871595,228.7843265878989,2
0.4,1,0.8,0.3,-63223.727105374666,661.3711388062223,2
0.2,2,0.8,0.1,-63223.80231616444,324.22157261604355,2
0.4,1,0.9,0.3,-63283.85216478149,2319.599024979597,2
0.3,4,0.9,0.1,-63379.11368834303,2554.466064003406,2
0.2,3,0.9,0.3,-63419.714164999976,594.6195381914833,2
0.2,2,1.0,0.2,-63426.56623229619,1023.9355719862797,2
0.2,2,0.9,0.1,-63436.72038029543,3650.2876499364656,2
0.3,2,0.8,0.1,-63477.6649730248,978.4912184239554,2
0.3,5,1.0,0.1,-63511.98723671197,1494.3507518225736,2
0.4,4,0.9,0.1,-63535.030659938544,1295.742084520412,2
0.5,1,0.9,0.5,-63541.77743268426,2139.2974659716506,2
0.4,2,1.0,0.1,-63578.09245820167,2475.8872136048644,2
0.2,1,0.7,0.1,-63580.338510833855,2351.2952890122056,2
0.3,3,1.0,0.2,-63615.37061624527,899.1679019077261,2
0.3,1,0.9,0.1,-63630.577269116875,3867.8325516131513,2
0.4,1,1.0,0.2,-63638.7732489764,512.6310154231086,2
0.2,4,0.9,0.2,-63658.58459155161,1818.2821960156832,2
0.5,4,1.0,0.1,-63684.89869392548,2074.8786254211104,2
0.3,5,1.0,0.4,-63698.49100676317,621.2645211379837,2
0.2,4,0.7,0.2,-63709.15184285559,1403.3362927798619,2
0.3,4,0.9,0.3,-63720.41306354928,1320.0881135019438,2
0.2,3,0.8,0.1,-63732.18373955948,246.5316457441334,2
0.6,1,1.0,0.1,-63737.66210908494,4819.201319510005,2
0.5,2,1.0,0.1,-63745.71116440589,3779.958575906258,2
0.3,1,0.9,0.2,-63765.60416871619,2113.5882705441772,2
0.2,5,0.7,0.2,-63775.374784307074,4702.352000056909,2
0.6,1,1.0,0.4,-63787.43188686298,62.208100957984975,2
0.5,4,0.9,0.1,-63811.64365549997,784.9439197477067,2
0.4,4,0.8,0.2,-63820.971026080006,378.02825894304186,2
0.3,5,0.8,0.4,-63828.343400778234,1770.3199743566347,2
0.5,4,0.8,0.1,-63842.10589708688,543.9514629648758,2
0.6,2,0.9,0.2,-63848.73921549453,1056.88774080357,2
0.2,1,0.9,0.3,-63855.20446174804,372.77685933740327,2
0.2,5,0.8,0.1,-63864.386953909634,1915.0148307645152,2
0.2,2,0.7,0.2,-63891.75322526635,2611.5185414544044,2
0.6,1,0.6,0.3,-63920.94724708094,258.4820805304455,2
0.3,4,0.9,0.2,-63927.00386186148,13.634452742819866,2
0.4,2,1.0,0.2,-63936.952201615095,365.1816529092076,2
0.4,4,0.8,0.1,-63963.31728300686,1278.701153445933,2
0.2,1,1.0,0.1,-63980.48686874722,2642.975500854972,2
0.3,1,0.8,0.1,-64004.078035774364,299.57993835555067,2
0.4,5,1.0,0.3,-64007.40570785135,1842.145886543625,2
0.6,3,0.8,0.1,-64016.61884003041,33.712196805983375,2
0.3,1,1.0,0.3,-64057.12758607507,1295.3592112691738,2
0.4,2,0.8,0.1,-64075.88192156618,39.54679985300833,2
0.2,2,0.8,0.2,-64080.03601637119,1377.6299248228852,2
0.5,1,0.8,0.4,-64098.6492980045,265.18891155653097,2
0.2,1,0.7,0.4,-64099.88514604932,873.2316732013755,2
0.3,2,1.0,0.3,-64100.39587895884,287.5211069545362,2
0.2,1,0.8,0.1,-64116.201133702234,111.90510393608106,2
0.6,3,0.9,0.2,-64126.63318596329,184.57839081390927,2
0.2,1,1.0,0.3,-64152.19417275881,1386.7817765682948,2
0.2,5,0.6,0.1,-64177.04725590556,1834.0302046531485,2
0.4,2,0.7,0.1,-64200.748440569645,1487.7193842398265,2
0.5,4,0.8,0.2,-64201.59733926411,1543.3301736472572,2
0.3,3,0.7,0.1,-64203.97850813395,1020.6114714999477,2
0.2,3,0.8,0.3,-64206.638419855415,751.0037609538314,2
0.3,2,0.9,0.2,-64223.90884418429,1014.9692900822897,2
0.5,5,0.8,0.2,-64224.8734087111,2366.7255540337915,2
0.3,2,1.0,0.2,-64233.59279640707,944.1094772080069,2
