crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.2,5,1.0,0.1,-115660.81257714031,1519.4220760443466,2
0.3,4,1.0,0.1,-116644.59069680188,587.7220960337596,2
0.5,1,1.0,0.1,-116666.39042023294,1683.21781030537,2
0.2,4,0.9,0.1,-116734.54053047957,1783.021417636487,2
0.2,4,1.0,0.1,-117894.91831161108,2512.301878793823,2
0.2,5,0.9,0.2,-117898.087715882,5634.586662297069,2
0.4,4,1.0,0.2,-117998.37326459948,2516.9150546859164,2
0.3,5,0.9,0.1,-118220.10484204095,3668.882228792658,2
0.2,5,0.9,0.1,-118262.88813278344,1057.2969356120025,2
0.3,3,1.0,0.1,-118290.88719987564,306.5361102003331,2
0.2,1,0.9,0.2,-118359.40122070943,2294.0096285518407,2
0.2,1,0.8,0.1,-118481.247002938,3401.3969229612653,2
0.2,4,1.0,0.2,-118485.5574476459,2621.0111810218336,2
0.4,4,1.0,0.1,-118705.40093808004,818.4167009953493,2
0.3,1,1.0,0.1,-118715.23051670013,2356.021029220105,2
0.5,4,0.8,0.2,-118777.51130489525,889.0157023859238,2
0.3,2,0.9,0.2,-118809.87548536992,2027.2771256033475,2
0.2,2,0.9,0.1,-118841.74272306217,1060.810178099442,2
0.2,1,1.0,0.1,-118887.11806163634,3725.1532506207245,2
0.2,1,1.0,0.2,-118900.90003647623,3250.501646391972,2
0.3,5,0.8,0.2,-118995.21862835274,2742.1206368465737,2
0.4,4,0.9,0.1,-118999.24097747235,1582.60804039408,2
0.2,5,0.7,0.1,-119006.48629417445,1293.9062478935957,2
0.2,4,0.8,0.1,-119030.42345652168,1771.460366212749,2
0.5,2,1.0,0.3,-119109.2495894226,111.8686513431513,2
0.2,3,0.8,0.1,-119135.01044192485,1713.6038788065707,2
0.4,1,0.9,0.2,-119191.57790675122,212.30777773148122,2
0.3,4,1.0,0.3,-119208.22658115104,2337.3553641982226,2
0.3,4,0.9,0.1,-119256.60315153789,1280.158163796623,2
0.4,1,0.9,0.3,-119266.03232771848,130.95655178441964,2
0.3,1,1.0,0.2,-119390.61899926205,1855.8096506419358,2
0.6,1,1.0,0.3,-119444.73411112448,2944.6320400926506,2
0.3,2,0.8,0.1,-119444.73763298139,720.814244024315,2
0.2,4,0.7,0.3,-119463.08585722907,4323.904905177348,2
0.3,4,0.8,0.1,-119463.91032851848,2396.996692784198,2
0.2,5,1.0,0.2,-119471.80028078536,590.6249880046649,2
0.2,2,0.8,0.2,-119488.90473697266,905.7831093854179,2
0.2,3,0.8,0.2,-119500.0804518293,4538.599917180835,2
0.2,3,1.0,0.2,-119567.24105036058,2996.6340955413198,2
