crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.4,4,1.0,0.1,-73392.11615477882,1646.8197602114544,2
0.2,4,1.0,0.1,-74299.13447223857,1332.6322839797785,2
0.3,1,0.9,0.2,-74595.65158126311,1073.744481473398,2
0.2,1,1.0,0.3,-75200.47843048962,315.63020050052165,2
0.2,5,1.0,0.3,-75226.17884599278,4344.171872131807,2
0.3,5,0.9,0.1,-75230.85404291388,4492.390526917796,2
0.3,4,0.6,0.1,-75328.552178316,130.572814569482,2
0.3,4,1.0,0.2,-75357.15022160443,980.245171164868,2
0.2,2,1.0,0.1,-75399.96111429641,4654.433723317579,2
0.2,2,1.0,0.4,-75481.33333986218,920.2834035315933,2
0.3,1,1.0,0.1,-75511.73012290968,105.95642350477887,2
0.2,3,0.7,0.1,-75577.72115041158,750.7374156465387,2
0.2,3,0.9,0.1,-75708.71851884469,280.94918972831215,2
0.2,4,0.7,0.3,-75894.2665743022,527.4135206765659,2
0.4,4,0.8,0.1,-75910.2597541021,2051.26124147878,2
0.4,3,0.9,0.1,-75961.81050162288,1912.9931074256249,2
0.4,4,0.6,0.1,-75998.32663987874,1692.267330468757,2
0.4,1,0.9,0.1,-76006.62110014999,106.41550834430487,2
0.2,5,0.9,0.2,-76039.48683232561,3420.284190315492,2
0.3,4,1.0,0.3,-76071.24496218102,443.94288220596627,2
0.2,1,0.8,0.3,-76073.79763221613,1765.8961337801054,2
0.2,2,0.7,0.1,-76108.76302850127,1538.3778410374143,2
0.3,2,0.8,0.1,-76117.72785767182,1650.0798940433183,2
0.2,5,0.6,0.2,-76155.92823345617,2001.9675037591608,2
0.2,2,0.8,0.3,-76198.62731212837,474.9005495700236,2
0.2,3,0.7,0.2,-76205.81446030347,3629.984580206626,2
0.3,1,0.8,0.1,-76223.2203807286,1842.4197782145013,2
0.3,4,1.0,0.1,-76253.5078978785,338.3843609043831,2
0.5,1,1.0,0.1,-76302.7795644299,1249.6187428042253,2
0.2,5,1.0,0.1,-76313.03099596562,3246.7687990305717,2
0.2,3,0.9,0.2,-76316.63698960975,1349.0091789653084,2
0.4,1,0.9,0.3,-76346.1240346751,1549.7259726741404,2
0.5,2,1.0,0.1,-76356.81652595002,2081.845035496882,2
0.2,2,0.8,0.1,-76383.47091069714,1268.642495853416,2
0.4,1,0.8,0.1,-76394.7453455375,1181.9807369406908,2
0.4,1,1.0,0.1,-76469.19540090105,2306.1599428675954,2
0.2,1,0.8,0.2,-76518.40500191963,1204.2010095170015,2
0.2,3,0.8,0.1,-76540.27161872454,1603.4749573041972,2
0.4,4,0.9,0.2,-76550.35301529407,876.8142599578257,2
0.3,3,1.0,0.1,-76590.71739405117,4734.385296908418,2
0.3,2,0.9,0.1,-76621.02429361104,844.4650235575077,2
0.5,3,1.0,0.1,-76628.44913352467,123.57944895987023,2
0.2,1,1.0,0.2,-76647.12448609606,1986.4074187999588,2
0.2,5,0.6,0.1,-76653.18024997247,1838.621171670423,2
0.2,1,0.9,0.1,-76653.4723274872,1491.3780869494526,2
0.4,5,0.7,0.1,-76667.25630513104,2073.8277991638242,2
0.4,1,1.0,0.2,-76678.12820818418,2302.5624832565595,2
0.3,2,0.9,0.2,-76718.80115726523,2936.434081531319,2
0.5,1,0.9,0.1,-76724.85117716796,1920.0603209420472,2
0.2,4,0.9,0.1,-76810.5883423742,2724.9793719195804,2
0.6,5,0.8,0.1,-76833.36742729574,2409.3258625062176,2
0.2,3,1.0,0.2,-76837.32069659291,2007.3201796084545,2
0.2,4,0.9,0.3,-76841.19453433319,2075.4285468997714,2
0.3,3,0.8,0.1,-76846.88224542723,2716.894995538523,2
0.4,2,0.8,0.2,-76852.53461871762,3063.9676087552066,2
0.5,1,0.8,0.3,-76884.13223847616,2433.9811618841204,2
0.5,5,0.9,0.1,-76928.33153335369,373.85438216332847,2
0.4,3,0.7,0.1,-76935.27167132418,1048.2447418243128,2
0.2,1,1.0,0.1,-76971.95284466917,5158.626616913352,2
0.4,2,1.0,0.3,-76995.3659762257,1346.6044824702815,2
0.4,2,0.7,0.2,-76998.69985527762,31.93228253811278,2
0.2,5,0.8,0.2,-77004.65259260048,518.3620967149503,2
0.2,5,0.9,0.1,-77019.18773536572,2439.7746733784684,2
0.2,3,0.6,0.1,-77045.50303503513,639.562058995017,2
0.6,2,0.9,0.2,-77063.07110263723,2048.5455812378655,2
0.4,1,1.0,0.3,-77070.97274942198,419.03504565834317,2
0.4,2,1.0,0.2,-77088.45864839945,2207.822948562242,2
0.5,5,1.0,0.1,-77093.53120379426,2217.3084021462887,2
0.3,2,1.0,0.1,-77103.40290316957,4223.32877803484,2
0.4,3,0.8,0.3,-77110.17550633647,1661.529557100675,2
0.2,4,0.7,0.1,-77111.32240498663,491.37391888362686,2
0.4,2,0.9,0.3,-77130.86199440058,1283.6270363171634,2
0.2,3,1.0,0.1,-77132.58552940877,390.02601841262066,2
0.6,3,1.0,0.1,-77143.2299360467,2188.3727983812246,2
0.2,2,0.8,0.2,-77169.86635391507,1363.5734165307447,2
0.2,2,0.7,0.2,-77182.13106421579,507.9780883085478,2
0.4,2,1.0,0.1,-77191.17363811626,1424.0967372863809,2
0.2,2,0.9,0.3,-77226.50439846612,361.0087610320835,2
0.2,1,0.6,0.3,-77235.12450778796,1123.496944797183,2
0.3,5,0.8,0.4,-77248.805533747,2338.5866755420184,2
0.2,3,0.9,0.4,-77249.26994810767,17.025899952859007,2
0.4,3,0.6,0.2,-77283.1432365674,2235.6224325055614,2
0.2,1,0.9,0.2,-77308.84706453199,2684.8838177035173,2
0.3,5,1.0,0.3,-77314.2081798622,3662.957469216886,2
0.3,2,1.0,0.2,-77340.29125172875,411.41586814382947,2
0.3,4,0.6,0.2,-77352.99840307405,3091.453785970368,2
0.2,4,1.0,0.2,-77358.94201723137,1826.8209722409918,2
0.2,3,1.0,0.4,-77424.6453256413,4383.849338055199,2
0.3,2,0.8,0.2,-77436.0240957107,2886.1237139226264,2
0.4,2,0.9,0.1,-77471.42517800195,1211.4551273415216,2
0.6,3,0.8,0.2,-77479.12081637587,367.63418576754185,2
0.4,3,1.0,0.3,-77524.70172410565,1372.9824973437223,2
0.2,5,0.7,0.1,-77553.14320998013,1201.7834418065524,2
0.3,4,0.8,0.1,-77572.99475951653,3754.1261064628025,2
0.4,5,1.0,0.2,-77576.98649142074,2657.569027010293,2
0.3,2,0.7,0.1,-77606.32151161597,1215.6238726715942,2
0.5,2,0.9,0.1,-77616.64726343492,2676.663350678191,2
0.3,3,0.9,0.1,-77627.38427735519,1610.767989852632,2
