crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,elapsed_sec,error
0.2,2,0.6,0.5,1,16409,-67798.78213408547,36.25486660981551,
0.2,1,0.7,0.5,0,16090,-69771.89113137338,36.47629796573892,
0.2,2,0.6,0.3,1,13503,-66872.7354489675,36.38810125598684,
0.2,2,0.7,0.5,0,13452,-71145.92023982047,36.31550283683464,
0.2,2,0.9,0.4,1,19160,-67280.28298410944,36.3076580837369,
0.2,1,0.6,0.5,1,22222,-69933.9061191949,37.22008079988882,
0.2,2,0.7,0.4,0,12718,-70740.43475117041,37.538102871738374,
0.2,1,0.8,0.4,0,15735,-69169.5166364316,38.06393345585093,
0.2,2,0.6,0.4,1,17547,-67657.51467245581,38.14811639720574,
0.2,3,0.6,0.5,0,16709,-69949.34577078733,37.989913480822,
0.2,1,0.9,0.4,1,20182,-64526.71629734374,38.341364678926766,
0.2,2,0.6,0.4,0,17546,-64870.19701813207,38.419642424210906,
0.2,4,0.8,0.1,1,18972,-66110.27919104598,37.92795201204717,
0.2,2,0.6,0.2,0,20257,-67318.47958150612,38.708375324029475,
0.2,2,0.9,0.5,0,19893,-66724.75700781003,38.57236254308373,
0.2,2,0.6,0.1,0,16555,-65820.5710600604,38.950456677004695,
0.2,2,0.9,0.4,0,19159,-69120.1930878374,38.82823674706742,
0.2,2,1.0,0.5,0,20605,-63677.631613631376,38.76611631922424,
0.2,1,1.0,0.5,0,14802,-65907.11990067744,39.02693644026294,
0.2,1,0.9,0.4,0,20181,-65511.88216308148,39.176208321005106,
0.2,1,0.6,0.4,1,16697,-68837.43782840135,39.29597984580323,
0.2,2,0.8,0.5,0,15447,-62689.12186798135,39.054036310873926,
0.2,2,0.6,0.5,0,16408,-68759.85456448473,39.266476303804666,
0.2,1,0.7,0.2,0,15365,-63980.25651803924,39.42346503678709,
0.2,1,0.8,0.4,1,15736,-66606.02430026485,39.41877238592133,
0.2,2,0.7,0.1,0,15215,-63019.230090944395,39.359834745991975,
0.2,4,0.7,0.3,0,18046,-67102.90924194455,38.811449646018445,
0.2,1,0.9,0.3,0,19625,-64118.79750685495,39.4602617546916,
0.2,2,0.6,0.3,0,13502,-67945.40651979907,39.58162964414805,
0.2,2,0.9,0.5,1,19894,-66947.76662518967,39.44739766418934,
0.2,1,0.8,0.3,0,15179,-66685.06943741094,39.71286273282021,
0.2,2,0.7,0.3,0,18987,-69071.82529176335,39.72577939974144,
0.2,2,0.7,0.3,1,18988,-68043.62577533709,39.712081438396126,
0.2,1,0.9,0.5,0,20915,-67355.80003711759,39.90358976833522,
0.2,1,0.9,0.2,1,21807,-63317.05035013309,39.92124148225412,
0.2,3,0.8,0.5,1,17365,-66534.02135572278,39.47733716433868,
0.2,2,0.7,0.2,0,15429,-65738.37569512316,39.88016587495804,
0.2,1,0.7,0.1,0,16237,-61917.72166740135,40.042910146992654,
0.2,1,0.8,0.5,1,21261,-68094.57511260432,40.16770854778588,
0.2,2,0.7,0.4,1,12719,-66623.18336775507,40.13623986626044,
0.2,1,1.0,0.4,0,15940,-67413.60863319274,40.34679399197921,
0.2,1,0.7,0.3,1,13185,-64475.080038460146,40.54045907687396,
0.2,2,0.8,0.5,1,15448,-65901.06083087156,40.30477302102372,
0.2,1,1.0,0.5,1,14803,-65445.56688347464,40.58742292644456,
0.2,2,0.7,0.2,1,15430,-62045.13075540954,40.701299941167235,
0.2,1,0.9,0.1,0,12678,-64654.25204867305,40.82555141393095,
0.2,2,0.7,0.5,1,13453,-68777.00859060515,40.76119585102424,
0.2,2,0.8,0.4,1,14714,-64354.68737431452,40.75579976802692,
0.2,1,0.9,0.2,0,21806,-66683.71402365004,41.02885232400149,
0.2,1,1.0,0.4,1,15941,-62950.94806625539,41.00877184001729,
0.2,1,1.0,0.3,1,20338,-65132.796970996176,41.01366272801533,
0.2,2,0.8,0.3,1,14158,-70487.37317889498,40.926855080761015,
0.2,1,0.7,0.5,1,16091,-68082.25767490185,41.31924896361306,
0.2,1,0.8,0.1,0,21407,-64037.072275859646,41.33808568492532,
0.2,2,0.9,0.2,1,18696,-60429.001924180935,41.175783121958375,
0.2,2,1.0,0.2,0,14454,-64150.59801874581,41.23329052887857,
0.2,1,0.9,0.1,1,12679,-61511.79128520044,41.540930804330856,
0.2,1,0.9,0.3,1,19626,-63591.61141664114,41.534990557003766,
0.2,2,1.0,0.1,1,13928,-63447.24466348352,41.293754041194916,
0.2,1,0.8,0.1,1,21408,-64195.32999154482,41.65586625877768,
0.2,1,0.7,0.3,0,13184,-68928.89813879493,41.717903659678996,
0.2,1,0.6,0.5,0,22221,-64995.18232408688,41.76357807870954,
0.2,1,0.8,0.2,1,20536,-63174.39269533487,41.83976521715522,
0.2,2,0.8,0.3,0,14157,-64522.09349784632,41.751218017190695,
0.2,1,1.0,0.3,0,20337,-63171.59137452144,41.96169858891517,
0.2,1,0.7,0.1,1,16238,-65242.95535426637,42.245689204894006,
0.2,2,1.0,0.1,0,13927,-61334.67682439439,41.95754172699526,
0.2,1,0.7,0.2,1,15366,-64954.35867178949,42.445736763998866,
0.2,1,1.0,0.2,1,15694,-64353.26231193071,42.462522224057466,
0.2,2,0.6,0.2,1,20258,-64593.17056328505,42.44363909680396,
0.2,1,0.8,0.5,0,21260,-62071.79419779816,42.666770956944674,
0.2,3,0.6,0.5,1,16710,-66977.58730146804,42.366819239687175,
0.2,1,0.7,0.4,1,15357,-64717.353183716885,42.75103746727109,
0.2,2,0.9,0.2,0,18695,-65559.46148625684,42.521829983219504,
0.2,2,0.9,0.3,1,13813,-68075.82460356521,42.52138343639672,
0.2,1,0.7,0.4,0,15356,-63482.41710838175,42.79125793185085,
0.2,2,0.9,0.1,1,21657,-60855.577229743845,42.704467811156064,
0.2,2,0.9,0.1,0,21656,-66017.86353084701,42.8444787748158,
0.2,1,1.0,0.1,1,16566,-62111.62096958276,43.06428002985194,
0.2,2,0.8,0.2,1,17425,-63105.904554563414,42.90787729481235,
0.2,2,1.0,0.2,1,14455,-62702.53444584656,42.88694912614301,
0.2,2,0.9,0.3,0,13812,-64097.057851475656,42.94929347373545,
0.2,2,1.0,0.3,1,21188,-60561.082121695865,42.940971296746284,
