crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,elapsed_sec,error
0.2,2,1.0,0.5,0,20605,-79845.77902591159,33.09495526878163,
0.2,3,0.8,0.5,0,17364,-79990.05264408533,32.956130385864526,
0.2,2,0.6,0.4,1,17547,-80456.69512463774,33.794343042653054,
0.2,2,0.7,0.5,0,13452,-81895.8317400596,33.77594521502033,
0.2,2,0.6,0.5,1,16409,-83679.29704762151,34.152424060273916,
0.2,3,0.7,0.5,0,13497,-83812.10057639645,33.6940277479589,
0.2,3,0.8,0.3,0,20075,-80278.79628481714,33.70655561797321,
0.2,3,0.7,0.4,0,14635,-84615.57747830359,34.09362031472847,
0.2,2,0.6,0.2,0,20257,-82911.45715343975,34.71548288082704,
0.2,4,0.6,0.4,1,20516,-82237.60069091554,33.793831150978804,
0.2,3,0.6,0.5,0,16709,-84248.9154147935,34.566406769212335,
0.2,4,0.7,0.4,0,17303,-82318.43321100515,33.944318268913776,
0.2,2,0.9,0.5,1,19894,-81969.85526438421,34.8537779469043,
0.2,3,0.8,0.4,1,15015,-84334.14427667811,34.574797180946916,
0.2,2,0.8,0.2,0,17424,-76205.67434444049,35.18631610786542,
0.2,2,0.6,0.1,1,16556,-77450.49828546932,35.33584823412821,
0.2,4,0.8,0.2,0,19307,-85121.24689642487,35.009844484273344,
0.2,2,0.6,0.4,0,17546,-79861.79661422165,36.299266094341874,
0.2,2,0.8,0.3,0,14157,-75862.82191313819,36.38752787001431,
0.2,3,0.8,0.5,1,17365,-80036.84537705807,35.825909243896604,
0.2,2,0.9,0.4,1,19160,-80271.7870102235,36.450200306717306,
0.2,2,0.9,0.3,0,13812,-76971.23265547259,36.860813077073544,
0.2,2,0.6,0.2,1,20258,-74671.14571407961,37.15436225384474,
0.2,2,0.7,0.1,0,15215,-75020.96562507658,37.171102659311146,
0.2,3,0.6,0.5,1,16710,-85869.34209765033,36.836181338876486,
0.2,2,0.6,0.3,1,13503,-82320.39163122179,37.398098699748516,
0.2,3,0.7,0.5,1,13498,-82792.92870638128,37.038540123961866,
0.2,2,0.7,0.2,1,15430,-76822.93631327864,37.755992599762976,
0.2,3,0.7,0.1,0,17645,-75046.86963291744,37.72054729005322,
0.2,2,0.8,0.5,1,15448,-78463.89096628648,38.07882063789293,
0.2,4,0.8,0.4,0,21170,-83277.07601201408,37.093323443084955,
0.2,4,0.6,0.2,0,20268,-81735.91459455583,37.4043096951209,
0.2,3,0.7,0.3,1,16209,-81074.18318826663,37.812944597098976,
0.2,1,1.0,0.5,1,14803,-79134.24660684301,38.41615459136665,
0.2,3,0.6,0.4,1,15976,-80698.12533400902,38.27028640266508,
0.2,3,1.0,0.5,1,20907,-78596.77867799671,37.84585830196738,
0.2,3,0.8,0.1,0,14431,-77674.09963449714,38.12313371710479,
0.2,3,0.9,0.3,1,14522,-79761.18123993944,38.045714194886386,
0.2,3,0.9,0.4,1,19461,-77261.30907742014,38.05039505939931,
0.2,3,0.9,0.5,1,21811,-79980.89485012388,38.05430873995647,
0.2,2,0.8,0.5,0,15447,-79983.39747345648,38.761543141677976,
0.2,3,0.7,0.4,1,14636,-79081.89323256483,38.55619038781151,
0.2,3,0.9,0.4,0,19460,-77237.2308187952,38.44524724781513,
0.2,2,0.8,0.4,0,14713,-78797.34951388597,39.132891175337136,
0.2,3,0.9,0.5,0,21810,-81145.70656789556,38.50548187177628,
0.2,4,0.7,0.1,1,13802,-77458.77623512746,38.30415713181719,
0.2,3,1.0,0.5,0,20906,-82933.7714447938,38.53410414792597,
0.2,2,1.0,0.5,1,20606,-77099.35294872157,39.23547725379467,
0.2,2,0.9,0.1,0,21656,-81062.11190098293,39.42154285684228,
0.2,3,0.6,0.3,0,19420,-79647.64492357445,39.23286911891773,
0.2,2,0.8,0.2,1,17425,-78134.05836338967,39.47213726490736,
0.2,2,1.0,0.4,1,21744,-74830.59470461156,39.364177357405424,
0.2,2,0.6,0.5,0,16408,-79131.78825549585,39.66890732804313,
0.2,4,0.8,0.3,1,20042,-80696.57330381134,38.665384363848716,
0.2,3,0.8,0.4,0,15014,-81027.68409829093,39.186327770818025,
0.2,2,0.6,0.1,0,16555,-77844.99627603564,40.03001465834677,
0.2,3,0.7,0.1,1,17646,-76108.57266790571,39.66582346800715,
0.2,4,0.9,0.1,1,18627,-74883.73694989641,39.023280325811356,
0.2,2,0.7,0.1,1,15216,-77196.56043192594,40.14313750434667,
0.2,3,1.0,0.3,0,13617,-77588.05099205782,39.430450360290706,
0.2,4,0.6,0.2,1,20269,-79353.34954921064,39.34495632397011,
0.2,3,0.9,0.1,1,14087,-75510.05744161893,39.65349235292524,
0.2,2,1.0,0.3,0,21187,-78426.94256900327,40.21606273204088,
0.2,2,1.0,0.3,1,21188,-78836.52208141334,40.24067297205329,
0.2,4,0.8,0.2,1,19308,-76844.5410341828,39.451767265331,
0.2,4,0.7,0.3,1,18047,-76267.20425126205,39.56723512802273,
0.2,2,0.9,0.3,1,13813,-77481.77614145966,40.4836053410545,
0.2,4,0.9,0.2,1,13754,-81323.59785721559,39.62545628286898,
0.2,3,1.0,0.1,0,19845,-76856.79548695002,40.054229978937656,
0.2,4,0.9,0.5,0,14478,-80468.66883552884,39.720077998936176,
0.2,3,1.0,0.2,1,12884,-75417.93098557917,40.19004478305578,
