file_id,learned_colliders,correct_scs,missing_scs,extra_scs,correct_pws,missing_pws,extra_pws,jaccard_edges,i,total_vars,dag_family,p_syn,p_noise,samples
0,0.7055555555555556,1.0,1.0,0.8,0.811111111111111,0.6333333333333333,0.6444444444444445,0.6618568537996455,0,10,ba,0.0,0.0,500
1,0.7581481481481481,1.0,1.0,0.8,0.8814814814814813,0.6444444444444445,0.6444444444444445,0.6734368458052669,1,10,ba,0.0,0.0,1000
2,0.5748677248677249,1.0,1.0,0.4666666666666667,0.8148148148148147,0.4888888888888889,0.35555555555555557,0.5953951165037897,2,10,ba,0.0,0.0,2000
3,0.7044444444444445,1.0,1.0,0.5333333333333333,0.9333333333333331,0.8,0.4666666666666667,0.5719578948095573,3,10,ba,0.0,0.0,5000
4,0.76,1.0,1.0,0.5333333333333333,1.0,1.0,0.4666666666666667,0.6132512349669212,4,10,ba,0.0,0.0,10000
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769229,5,10,ba,0.0,0.1,500
6,0.7659259259259258,1.0,1.0,0.6444444444444445,0.8814814814814813,0.6444444444444445,0.8,0.7196659866525709,6,10,ba,0.0,0.1,1000
7,0.7751851851851852,1.0,1.0,0.4666666666666667,0.9333333333333333,0.8,0.8,0.7300853566797839,7,10,ba,0.0,0.1,2000
8,0.8044444444444443,1.0,1.0,0.8,0.9333333333333333,0.8,0.6444444444444445,0.7140446590446591,8,10,ba,0.0,0.1,5000
9,0.7955555555555555,1.0,1.0,0.8,0.9333333333333331,0.8,0.6222222222222222,0.687916464626991,9,10,ba,0.0,0.1,10000
10,0.95,1.0,1.0,1.0,1.0,1.0,0.8,0.9,10,10,ba,0.0,0.2,500
11,0.95,1.0,1.0,1.0,1.0,1.0,0.8,0.9142857142857141,11,10,ba,0.0,0.2,1000
12,0.839259259259259,1.0,1.0,0.8,0.9333333333333331,0.8,0.8,0.7814342139342136,12,10,ba,0.0,0.2,2000
13,0.9199999999999999,1.0,1.0,0.8,1.0,1.0,0.8,0.8875,13,10,ba,0.0,0.2,5000
14,0.7903703703703703,1.0,1.0,0.8,0.9333333333333333,0.8,0.6222222222222222,0.7543246187363835,14,10,ba,0.0,0.2,10000
15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9179487179487179,15,10,ba,0.0,0.3,500
16,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.8,1.0,0.9375,16,10,ba,0.0,0.3,1000
17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9692307692307693,17,10,ba,0.0,0.3,2000
18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9179487179487179,18,10,ba,0.0,0.3,5000
19,0.8655555555555556,1.0,1.0,0.6444444444444445,1.0,1.0,0.8,0.8365384615384613,19,10,ba,0.0,0.3,10000
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20,10,ba,0.0,0.4,500
21,0.43888888888888883,1.0,1.0,0.4,0.6222222222222222,0.6592592592592592,0.4222222222222222,0.5833083735818515,21,10,ba,0.0,0.4,1000
22,0.7166666666666667,1.0,1.0,1.0,0.7777777777777776,0.4,0.5333333333333333,0.7215476190476191,22,10,ba,0.0,0.4,2000
23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,10,ba,0.0,0.4,5000
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,10,ba,0.0,0.4,10000
25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25,10,ba,0.0,0.5,500
26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26,10,ba,0.0,0.5,1000
27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27,10,ba,0.0,0.5,2000
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28,10,ba,0.0,0.5,5000
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29,10,ba,0.0,0.5,10000
30,0.5322222222222222,0.9,0.8,0.8,0.4444444444444444,0.4444444444444444,0.25555555555555554,0.6121164220674025,30,10,ba,0.5,0.0,500
31,0.7666666666666665,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.8,0.7452624648599879,31,10,ba,0.5,0.0,1000
32,0.5866666666666667,0.9,0.8,0.6222222222222222,0.5333333333333333,0.5333333333333333,0.35555555555555557,0.6348365414541887,32,10,ba,0.5,0.0,2000
33,0.6085185185185185,0.9,0.8,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.8,0.6164482284141728,33,10,ba,0.5,0.0,5000
34,0.75,0.9,0.8,0.8,0.5333333333333333,0.5333333333333333,1.0,0.7784714173568664,34,10,ba,0.5,0.0,10000
35,0.9333333333333333,1.0,1.0,1.0,0.8,0.8,1.0,0.9227513227513227,35,10,ba,0.5,0.1,500
36,0.65,0.9,0.8,0.8,0.4666666666666667,0.4666666666666667,0.6222222222222222,0.6665351286713517,36,10,ba,0.5,0.1,1000
37,0.7118518518518518,0.9,0.8,0.8,0.5333333333333333,0.5333333333333333,0.8,0.7313864748178475,37,10,ba,0.5,0.1,2000
38,0.76,1.0,1.0,1.0,0.5333333333333333,0.5333333333333333,0.8,0.8024537735322048,38,10,ba,0.5,0.1,5000
39,0.7533333333333333,1.0,1.0,1.0,0.4666666666666667,0.4666666666666667,0.8,0.7691621776915895,39,10,ba,0.5,0.1,10000
40,0.6481481481481481,0.8222222222222222,0.6444444444444445,0.6444444444444445,0.4666666666666667,0.4666666666666667,1.0,0.7403655603655603,40,10,ba,0.5,0.2,500
41,0.7851851851851852,0.9,0.8,0.8,0.6444444444444445,0.6444444444444445,1.0,0.8362125020948551,41,10,ba,0.5,0.2,1000
42,0.72,1.0,1.0,0.8,0.5333333333333333,0.5333333333333333,0.6222222222222222,0.7418906764985197,42,10,ba,0.5,0.2,2000
43,0.6277777777777778,0.9,0.8,0.8,0.4444444444444444,0.4444444444444444,0.6222222222222222,0.6820135988118444,43,10,ba,0.5,0.2,5000
44,0.7507407407407407,0.9,0.8,0.8,0.6444444444444445,0.6444444444444445,0.8,0.8469038042567456,44,10,ba,0.5,0.2,10000
45,0.9333333333333333,1.0,1.0,1.0,0.8,0.8,1.0,0.9466666666666665,45,10,ba,0.5,0.3,500
46,0.9333333333333333,1.0,1.0,1.0,0.8,0.8,1.0,0.9466666666666667,46,10,ba,0.5,0.3,1000
47,0.8814814814814814,1.0,1.0,1.0,0.6444444444444445,0.6444444444444445,1.0,0.9051851851851852,47,10,ba,0.5,0.3,2000
48,0.7777777777777776,1.0,1.0,1.0,0.4666666666666667,0.4666666666666667,0.8,0.8577342047930284,48,10,ba,0.5,0.3,5000
49,0.8037037037037035,1.0,1.0,1.0,0.5333333333333333,0.5333333333333333,0.8,0.8077691589456296,49,10,ba,0.5,0.3,10000
50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50,10,ba,0.5,0.4,500
51,0.7592592592592591,0.9,0.8,0.8,0.6444444444444445,0.6444444444444445,1.0,0.8200244200244201,51,10,ba,0.5,0.4,1000
52,0.8148148148148147,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,1.0,0.8518518518518521,52,10,ba,0.5,0.4,2000
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,53,10,ba,0.5,0.4,5000
54,0.8444444444444443,1.0,1.0,1.0,0.5333333333333333,0.5333333333333333,1.0,0.8755555555555556,54,10,ba,0.5,0.4,10000
55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,55,10,ba,0.5,0.5,500
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,10,ba,0.5,0.5,1000
57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57,10,ba,0.5,0.5,2000
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,58,10,ba,0.5,0.5,5000
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,59,10,ba,0.5,0.5,10000
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9692307692307693,60,10,ba,1.0,0.0,500
61,0.9,0.9333333333333333,0.8,0.8,1.0,1.0,1.0,0.8566381766381767,61,10,ba,1.0,0.0,1000
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9452991452991455,62,10,ba,1.0,0.0,2000
63,0.8533333333333333,0.9333333333333333,0.8,0.6222222222222222,1.0,1.0,1.0,0.8635897435897435,63,10,ba,1.0,0.0,5000
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9452991452991455,64,10,ba,1.0,0.0,10000
65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9525925925925928,65,10,ba,1.0,0.1,500
66,0.6511111111111111,0.7629629629629628,0.37777777777777777,0.35555555555555557,1.0,1.0,1.0,0.7460644656723089,66,10,ba,1.0,0.1,1000
67,0.9,0.9333333333333333,0.8,0.8,1.0,1.0,1.0,0.8616758241758242,67,10,ba,1.0,0.1,2000
68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9282051282051281,68,10,ba,1.0,0.1,5000
69,0.8533333333333333,0.9333333333333331,0.8,0.6222222222222222,1.0,1.0,1.0,0.78021978021978,69,10,ba,1.0,0.1,10000
70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9692307692307692,70,10,ba,1.0,0.2,500
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9692307692307693,71,10,ba,1.0,0.2,1000
